,FID,PL,PM
0,List,"C, CPP, CSharp, Go, Java, Javascript, Python, Ruby","PHP, Typescript"
1,Image,"C, CPP, CSharp, Go, Java, Javascript, PHP, Python, Ruby, Typescript",
2,Github,"C, CPP, CSharp, Go, Java, Javascript, PHP, Python, Ruby, Typescript",
3,Links,"C, CPP, CSharp, Go, Java, Javascript, PHP, Python, Ruby, Typescript",
4,Inline,"C, CPP, CSharp, Go, Java, Javascript, Python, Ruby, Typescript",PHP
5,Project,"CPP, CSharp, Go, Java, Javascript, Python","C, PHP, Ruby, Typescript"
6,Animation,Python,"C, CPP, CSharp, Go, Java, Javascript, PHP, Ruby, Typescript"
7,Code,"Python, Typescript","C, CPP, CSharp, Go, Java, Javascript, PHP, Ruby"
8,Video,,"C, CPP, CSharp, Go, Java, Javascript, PHP, Python, Ruby, Typescript"
9,Table,,"C, CPP, CSharp, Go, Java, Javascript, PHP, Python, Ruby, Typescript"
